step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
130.0,10,237.0,9.115384615384615,5.390714925395348,5,119.0,0.2526432237091592,5,160.0,0.34385310260926644,10,279.0
135.0,10,163.0,6.52,4.8110170789217275,3,59.0,0.37154284317945446,7,150.0,0.22892483007422987,10,209.0
140.0,10,201.0,7.730769230769231,4.81169437457583,3,22.0,0.362393717905825,7,185.0,0.1966537645821872,10,207.0
145.0,13,255.0,8.793103448275861,6.225481157992448,5,41.0,0.15786371420013748,7,220.0,0.38022517065378886,12,261.0
150.0,12,315.0,10.5,6.459071127514708,5,66.0,0.2195132068181444,7,252.0,0.2863121890077128,12,318.0
155.0,15,380.0,14.074074074074074,4.723022448725509,5,91.0,0.29136412877879614,10,292.0,0.00018352602697748537,15,383.0
160.0,15,439.0,17.56,3.4180787307264757,5,100.0,0.21948579049699868,10,342.0,0.0895501955265683,15,442.0
165.0,11,306.0,10.928571428571429,4.2443741282856395,6,129.0,0.0,4,218.0,0.2340311259532933,10,347.0
170.0,9,266.0,9.172413793103448,5.869907608282313,4,118.0,0.42739577509029947,4,188.0,0.15423655430625896,8,306.0
175.0,6,225.0,7.5,7.549534332771384,2,62.0,0.36433897467142384,4,208.0,0.0,6,270.0
180.0,10,266.0,8.866666666666667,7.010974475809319,6,46.0,0.11440315914849351,4,228.0,0.12299038138215801,10,274.0
185.0,13,319.0,11.0,5.408138385889815,7,76.0,0.12361792338284633,4,248.0,0.1872884407461309,11,324.0
190.0,11,374.0,15.583333333333334,5.253546416165533,7,111.0,0.21468354244022395,4,268.0,0.20033362666252766,11,379.0
195.0,13,419.0,18.217391304347824,3.4088011913162166,8,132.0,0.12160891596982283,5,292.0,0.2759383692344837,13,424.0
200.0,16,494.0,22.454545454545453,2.5477926128995043,9,177.0,0.08211472408898093,7,322.0,0.01561180100125983,16,499.0
